Sample Number,Drop.for.2x3,Treament Levels,Treatment Code,Aphid Treatment,Weevil Treatment,Bio.Rep,SA content,JA content,ABA content,Log SA,Log JA,Log ABA
3,no,1,W-A-,Sham,None,1,199.2153601,113.1598635,202.8888196,2.299322821,2.053692415,2.307258115
4,no,1,W-A-,Sham,None,2,240.8903463,112.7708936,191.1214738,2.381819396,2.052197022,2.281309486
5,no,2,W-A+,Infective,None,1,20245.07411,30.51580067,120.6704403,4.306319371,1.484524769,2.081600897
6,no,2,W-A+,Infective,None,2,6966.01429,138.3076713,200.1820642,3.842984361,2.140846269,2.301425163
7,no,2,W-A+,Infective,None,3,23525.91565,46.35136444,1518.929563,4.371546536,1.666062523,3.181537635
8,no,2,W-A+,Infective,None,4,17601.49936,44.56295045,254.8169911,4.245549664,1.648973937,2.406228383
9,no,3,W+A-,Sham,First,1,324.1327251,25.80253823,330.6825487,2.510722881,1.41166243,2.519411276
10,no,3,W+A-,Sham,First,2,501.0572872,16.93830874,2479.217942,2.699887383,1.228870045,3.394314706
11,no,3,W+A-,Sham,First,3,190.4067978,10.86389421,3932.993872,2.279682449,1.035985528,3.59472327
12,no,3,W+A-,Sham,First,4,132.4221407,15.26610653,2861.323181,2.121960604,1.183728289,3.456566913
13,no,4,W+A+,Infective,First,1,12311.60618,25.13217301,268.5792273,4.090314715,1.400230041,2.42907242
14,no,4,W+A+,Infective,First,2,6596.206363,33.73788298,1252.942708,3.819294234,1.528117828,3.097931213
15,no,4,W+A+,Infective,First,3,11436.02796,17.02687245,1316.361614,4.058275209,1.231134883,3.119375209
16,no,4,W+A+,Infective,First,4,9525.209065,115.2732874,667.0023047,3.978874517,2.061728679,2.824127335
17,no,5,A-W+,Sham,Second,1,356.0319185,95.22354217,2751.89883,2.551488935,1.978744333,3.439632464
18,no,5,A-W+,Sham,Second,2,207.4996086,17.59780572,764.7713444,2.317017282,1.245458519,2.883531607
19,no,5,A-W+,Sham,Second,3,117.6434667,50.05887359,3005.666449,2.070567814,1.699481073,3.477940784
21,yes,6,A+W-,Infective,None,1,4521.701827,81.30118592,139.7780483,3.65530192,1.910096881,2.145438972
22,yes,6,A+W-,Infective,None,2,11754.74022,41.3282028,207.5745707,4.070213036,1.61624652,2.317174148
23,yes,6,A+W-,Infective,None,3,4211.886646,123.7253361,167.9645747,3.624476675,2.092458642,2.225217695
24,yes,6,A+W-,Infective,None,4,4766.733451,24.23007307,176.0151195,3.678220867,1.384354724,2.245549975
25,no,7,A+W+,Infective,Second,1,2129.067931,54.36929952,173.974478,3.328189518,1.735353738,2.240485542
26,no,7,A+W+,Infective,Second,2,1001.379214,51.60289355,152.1653421,3.000598573,1.712674055,2.182315747
27,no,7,A+W+,Infective,Second,3,2860.708071,38.1628387,133.8856984,3.456473541,1.581640672,2.126734188
28,no,7,A+W+,Infective,Second,4,2508.397319,45.94668486,258.4663264,3.399396328,1.662254182,2.41240397
