Aphids,Weevils,Asp,Ser.Gln,Glu,Gly,His,Hser,Arg,Thr,Ala,Pro,Cys,Val,Lys,Ile,Leu,Phe
Infective,None,9.397906356,43.92871546,20.58413003,1.316617524,6.373678574,103.2833662,0.42602476,7.19930683,6.865624763,1.579276613,71.93261386,17.2088301,0.474328242,6.223406965,4.214094305,18.240169
Infective,None,14.5543496,48.34134434,48.31632988,3.298716399,10.24137768,136.6658464,18.63121171,0.030536571,0.366392625,3.413173955,97.17038011,29.1872781,1.187234443,12.08251297,8.055925305,39.579363
Infective,None,4.17164756,24.33154825,13.7253359,1.006348198,2.563977468,48.32678691,0.426521631,4.250219334,3.429732765,7.653217755,21.96028131,10.0934301,0,4.649885965,5.130465305,8.678443
Sham,First,4.513739501,9.498099112,15.40094149,0,2.71943717,9.097240665,0,3.610924861,3.39038714,6.30311078,33.24710147,3.564575096,0.710889582,0,0,2.840037
Sham,First,4.929523837,13.26789987,20.37563304,0,3.466121846,23.47539392,0.439828283,3.898976997,4.614321265,0.598239181,0,9.840193096,0.710889582,2.596711965,7.786302305,51.511019
Sham,First,2.653245743,9.692202177,16.09189839,0.307947489,0.968623276,14.44668584,3.209415056,2.877081888,0,12.90419946,19.82214501,16.0496511,0.539569462,8.575304965,3.122288305,8.11008
Sham,First,2.669922247,7.846098889,17.63093234,0,1.634704125,12.43356071,3.358326871,3.632799534,0,8.467220999,26.56419457,13.1282391,0.453314419,7.147710965,8.093038305,6.402036
Infective,First,2.756242338,9.575215948,12.29537491,0,2.239861597,36.32699201,4.060078657,2.743031938,0,1.827456784,26.37468352,7.581863096,0,3.388053965,3.436609305,5.295795
Infective,First,0,1.262876233,3.674416085,0,0.446465868,12.25968664,1.039069407,0.660851908,0,1.351321245,4.569822505,2.181935096,0,2.387049965,7.863484305,7.317198
Infective,First,2.235524404,9.282176633,13.20316301,0.3579204,1.667632842,34.76457225,0,2.896119481,1.630258191,4.777384521,31.75742967,7.091332096,0,3.613576965,4.183372305,6.139885
Sham,Second,7.062009648,27.42401604,28.57621671,0.651474786,5.078462626,29.43268026,2.231898299,7.634611235,8.467335823,22.10778989,193.7046433,24.1141981,1.167156188,12.47978897,9.253557305,20.878652
Sham,Second,8.508712826,18.50854069,34.26049603,4.592916233,4.925953251,30.89078995,10.27253033,0,6.23803746,2.924872356,29.62673644,0,0.484480987,4.338688965,3.416833305,28.041054
Sham,Second,8.08727412,26.61663554,34.47082543,0,5.303302612,34.24653867,1.098576691,7.589128606,9.908098142,23.37366156,198.9490271,30.8363561,1.367097833,18.78864097,18.31059631,20.687485
Infective,None,1.464671396,4.104233052,9.546394414,0.138866431,1.417927287,26.5593589,0,2.608550211,1.842869854,4.519211229,34.40097957,4.141868096,0,1.706183965,8.397240305,14.212955
Infective,None,2.836921112,10.99805491,10.70203467,0.388287143,2.014885432,48.49014463,0.278079821,3.279440616,1.670475538,8.992051701,62.79068319,8.545841096,0,3.465451965,1.455207305,10.093434
Infective,None,2.808290579,3.905395646,9.291563207,0,2.39275456,21.65893813,0,2.662536476,1.529713219,5.319756515,15.01804756,4.052766096,0,1.431793965,0,4.468861
Infective,Second,10.59515891,15.21302048,33.0717698,0.969819754,6.470236763,38.67334165,1.953690522,7.120954803,7.635863115,10.47489413,96.12207133,13.0162741,0.362401979,4.348779965,3.674641305,13.272878
Infective,Second,12.78297957,49.10445451,42.14189116,0,13.03362264,93.31982281,1.953690522,11.93455991,9.070315664,19.26734154,506.8799347,28.5873271,1.194455978,12.70389997,9.969769305,29.944768
Infective,Second,7.974240636,27.90842519,26.44814014,1.902330694,4.04630061,85.2911714,0,8.152515802,4.366331067,1.722347885,64.35567984,14.2329321,0.637474587,6.971426965,6.235183305,15.377121
Infective,Second,9.51507605,21.24852981,27.8374197,0.565737133,6.054123181,53.03168985,0,6.23627204,5.960315664,1.160024992,76.35342096,12.2434401,0.283348572,4.365565965,3.588863305,8.672864
