Plant,Node,Notches_at_node,Stem_aphids,Leaf_aphids,Tendril_aphids,Total_aphids_at_node,Total_aphids_on_plant,Total_notches_on_plant,Number_nodes,Weevil
1,1,0,0,0,2,2,6,17,8,Present
1,2,1,0,0,0,0,6,17,8,Present
1,3,2,0,0,0,0,6,17,8,Present
1,4,1,3,0,0,3,6,17,8,Present
1,5,0,0,0,0,0,6,17,8,Present
1,6,0,0,0,0,0,6,17,8,Present
1,7,13,0,0,0,0,6,17,8,Present
1,8,0,0,0,1,1,6,17,8,Present
2,1,3,2,1,2,5,13,27,8,Present
2,2,2,0,1,0,1,13,27,8,Present
2,3,3,0,0,2,2,13,27,8,Present
2,4,2,0,0,1,1,13,27,8,Present
2,5,5,0,0,0,0,13,27,8,Present
2,6,8,2,0,1,3,13,27,8,Present
2,7,4,0,0,0,0,13,27,8,Present
2,8,0,0,1,0,1,13,27,8,Present
3,1,0,1,3,0,4,12,11,9,Present
3,2,7,0,0,0,0,12,11,9,Present
3,3,1,0,0,0,0,12,11,9,Present
3,4,0,0,0,0,0,12,11,9,Present
3,5,0,1,0,1,2,12,11,9,Present
3,6,2,1,0,1,2,12,11,9,Present
3,7,1,0,0,1,1,12,11,9,Present
3,8,0,0,0,0,0,12,11,9,Present
3,9,0,0,3,0,3,12,11,9,Present
4,1,0,0,1,1,2,8,43,8,Present
4,2,17,0,1,1,2,8,43,8,Present
4,3,16,0,0,0,0,8,43,8,Present
4,4,10,0,0,0,0,8,43,8,Present
4,5,0,1,0,0,1,8,43,8,Present
4,6,0,0,0,0,0,8,43,8,Present
4,7,0,0,1,1,2,8,43,8,Present
4,8,0,0,1,0,1,8,43,8,Present
5,1,0,5,3,2,10,11,32,8,Present
5,2,3,1,0,0,1,11,32,8,Present
5,3,2,0,0,0,0,11,32,8,Present
5,4,5,0,0,0,0,11,32,8,Present
5,5,8,0,0,0,0,11,32,8,Present
5,6,3,0,0,0,0,11,32,8,Present
5,7,7,0,0,0,0,11,32,8,Present
5,8,4,0,0,0,0,11,32,8,Present
6,1,0,0,1,2,3,12,36,7,Present
6,2,7,1,0,0,1,12,36,7,Present
6,3,14,0,0,0,0,12,36,7,Present
6,4,5,0,0,1,1,12,36,7,Present
6,5,10,1,0,0,1,12,36,7,Present
6,6,0,0,0,1,1,12,36,7,Present
6,7,0,4,1,0,5,12,36,7,Present
7,1,0,1,4,1,6,11,32,8,Present
7,2,6,1,0,0,1,11,32,8,Present
7,3,4,0,0,0,0,11,32,8,Present
7,4,4,0,1,0,1,11,32,8,Present
7,5,2,2,0,1,3,11,32,8,Present
7,6,5,0,0,0,0,11,32,8,Present
7,7,11,0,0,0,0,11,32,8,Present
7,8,0,0,0,0,0,11,32,8,Present
8,1,1,4,0,0,4,13,4,7,Present
8,2,3,0,0,0,0,13,4,7,Present
8,3,0,0,2,1,3,13,4,7,Present
8,4,0,3,0,1,4,13,4,7,Present
8,5,0,0,0,0,0,13,4,7,Present
8,6,0,0,0,0,0,13,4,7,Present
8,7,0,1,1,0,2,13,4,7,Present
9,1,0,0,1,3,4,9,0,8,Absent
9,2,0,0,0,0,0,9,0,8,Absent
9,3,0,1,2,1,4,9,0,8,Absent
9,4,0,0,0,0,0,9,0,8,Absent
9,5,0,1,0,0,1,9,0,8,Absent
9,6,0,0,0,0,0,9,0,8,Absent
9,7,0,0,0,0,0,9,0,8,Absent
9,8,0,0,0,0,0,9,0,8,Absent
10,1,0,3,1,0,4,12,0,8,Absent
10,2,0,1,2,1,4,12,0,8,Absent
10,3,0,0,0,0,0,12,0,8,Absent
10,4,0,0,2,0,2,12,0,8,Absent
10,5,0,0,0,0,0,12,0,8,Absent
10,6,0,0,0,1,1,12,0,8,Absent
10,7,0,1,0,0,1,12,0,8,Absent
10,8,0,0,0,0,0,12,0,8,Absent
11,1,0,2,2,0,4,12,0,8,Absent
11,2,0,0,1,0,1,12,0,8,Absent
11,3,0,0,1,0,1,12,0,8,Absent
11,4,0,0,0,2,2,12,0,8,Absent
11,5,0,2,0,1,3,12,0,8,Absent
11,6,0,0,0,0,0,12,0,8,Absent
11,7,0,0,0,1,1,12,0,8,Absent
11,8,0,0,0,0,0,12,0,8,Absent
12,1,0,2,1,2,5,9,0,8,Absent
12,2,0,0,0,0,0,9,0,8,Absent
12,3,0,0,0,1,1,9,0,8,Absent
12,4,0,0,0,0,0,9,0,8,Absent
12,5,0,3,0,0,3,9,0,8,Absent
12,6,0,0,0,0,0,9,0,8,Absent
12,7,0,0,0,0,0,9,0,8,Absent
12,8,0,0,0,0,0,9,0,8,Absent
13,1,0,3,3,0,6,10,0,8,Absent
13,2,0,0,0,0,0,10,0,8,Absent
13,3,0,0,0,1,1,10,0,8,Absent
13,4,0,0,0,1,1,10,0,8,Absent
13,5,0,0,0,0,0,10,0,8,Absent
13,6,0,0,0,0,0,10,0,8,Absent
13,7,0,0,0,0,0,10,0,8,Absent
13,8,0,0,2,0,2,10,0,8,Absent
14,1,0,3,1,0,4,9,0,8,Absent
14,2,0,1,0,0,1,9,0,8,Absent
14,3,0,0,1,0,1,9,0,8,Absent
14,4,0,1,0,1,2,9,0,8,Absent
14,5,0,0,0,1,1,9,0,8,Absent
14,6,0,0,0,0,0,9,0,8,Absent
14,7,0,0,0,0,0,9,0,8,Absent
14,8,0,0,0,0,0,9,0,8,Absent
15,1,0,2,0,1,3,15,0,8,Absent
15,2,0,0,0,0,0,15,0,8,Absent
15,3,0,2,2,1,5,15,0,8,Absent
15,4,0,1,0,0,1,15,0,8,Absent
15,5,0,0,0,1,1,15,0,8,Absent
15,6,0,1,0,0,1,15,0,8,Absent
15,7,0,1,0,0,1,15,0,8,Absent
15,8,0,1,2,0,3,15,0,8,Absent
16,1,0,2,0,1,3,8,0,8,Absent
16,2,0,0,0,1,1,8,0,8,Absent
16,3,0,0,1,0,1,8,0,8,Absent
16,4,0,0,0,0,0,8,0,8,Absent
16,5,0,1,0,0,1,8,0,8,Absent
16,6,0,1,0,0,1,8,0,8,Absent
16,7,0,0,0,0,0,8,0,8,Absent
16,8,0,0,0,1,1,8,0,8,Absent
