DPI,Treatment,Biological Sample,Technical Sample,PEMVCQ,BTCQ,DeltaCQ,ControlDeltaCQ
Ten,Autoclave soil,1,1,18.48536764,25.41417558,-6.928807943,-7.4831
Ten,Autoclave soil,1,2,18.39721133,26.03531859,-7.63810726,-7.4831
Ten,Autoclave soil,1,3,18.57352395,25.22078802,-6.647264068,-7.4831
Ten,Autoclave soil,2,1,20.56134229,27.00321528,-6.441872995,-7.4831
Ten,Autoclave soil,2,2,21.22996618,26.92904669,-5.699080508,-7.4831
Ten,Autoclave soil,2,3,21.10132414,26.92070035,-5.819376204,-7.4831
Ten,Autoclave soil,3,1,19.28027482,26.64057081,-7.360295992,-7.4831
Ten,Autoclave soil,3,2,18.52431587,26.17898865,-7.654672782,-7.4831
Ten,Autoclave soil,3,3,19.17978028,26.16910097,-6.989320691,-7.4831
Ten,Autoclave.Rhizobia,1,1,23.88946891,28.22531722,-4.335848312,-7.4831
Ten,Autoclave.Rhizobia,1,2,23.78959721,28.43030043,-4.640703223,-7.4831
Ten,Autoclave.Rhizobia,1,3,24.02424906,28.65580927,-4.631560202,-7.4831
Ten,Autoclave.Rhizobia,2,1,23.52824561,28.23382408,-4.705578472,-7.4831
Ten,Autoclave.Rhizobia,2,2,23.28673802,28.36805849,-5.081320476,-7.4831
Ten,Autoclave.Rhizobia,2,3,23.31960001,28.12806162,-4.808461617,-7.4831
Ten,Autoclave.Rhizobia,3,1,24.10650204,30.34413282,-6.237630787,-7.4831
Ten,Autoclave.Rhizobia,3,2,23.95838249,30.1490909,-6.190708408,-7.4831
Ten,Autoclave.Rhizobia,3,3,23.53549277,29.93778962,-6.402296845,-7.4831
Ten,Control.NoA,1,1,22.62516664,30.6286572,-8.003490565,-7.4831
Ten,Control.NoA,1,2,22.82256815,30.89143867,-8.068870512,-7.4831
Ten,Control.NoA,1,3,22.42776512,31.34935541,-8.921590288,-7.4831
Ten,Control.NoA,2,1,20.74947334,27.53668502,-6.787211675,-7.4831
Ten,Control.NoA,2,2,19.36319204,27.17132481,-7.808132777,-7.4831
Ten,Control.NoA,2,3,20.1547003,26.36428044,-6.20958014,-7.4831
Ten,Control.NoA,3,1,19.66927605,27.17341223,-7.504136172,-7.4831
Ten,Control.NoA,3,2,19.94360484,27.03305165,-7.089446811,-7.4831
Ten,Control.NoA,3,3,19.95733178,26.91299353,-6.95566175,-7.4831
Ten,Control.Nitrogen,1,1,19.32722232,26.65703771,-7.329815398,-7.4831
Ten,Control.Nitrogen,1,2,20.02051076,26.74769528,-6.72718452,-7.4831
Ten,Control.Nitrogen,1,3,20.09299861,26.65651837,-6.563519764,-7.4831
Ten,Control.Nitrogen,2,1,19.95223876,26.54433905,-6.592100293,-7.4831
Ten,Control.Nitrogen,2,2,19.74696282,26.38739702,-6.640434204,-7.4831
Ten,Control.Nitrogen,2,3,19.36899553,25.96419488,-6.59519935,-7.4831
Ten,Control.Nitrogen,3,1,22.6103702,30.07931146,-7.468941252,-7.4831
Ten,Control.Nitrogen,3,2,22.52774527,30.0783762,-7.550630929,-7.4831
Ten,Control.Nitrogen,3,3,22.40464021,30.75209306,-8.347452852,-7.4831
Four,Autoclave soil,1,1,20.2599448,26.77209545,-6.512150647,
Four,Autoclave soil,1,2,20.32338186,27.24227848,-6.918896624,
Four,Autoclave soil,1,3,19.40360378,27.08257622,-7.678972436,
Four,Autoclave soil,2,1,21.60594081,28.74443002,-7.13848921,
Four,Autoclave soil,2,2,21.73600586,28.01357325,-6.277567389,
Four,Autoclave soil,2,3,21.8660709,28.5078855,-6.641814596,
Four,Autoclave soil,3,1,18.78696101,24.95613256,-6.169171548,
Four,Autoclave soil,3,2,18.62649979,25.09689274,-6.470392946,
Four,Autoclave soil,3,3,18.30271159,25.07778947,-6.775077877,
Four,Autoclave.Rhizobia,1,1,20.56839812,27.59585661,-7.027458486,
Four,Autoclave.Rhizobia,1,2,20.40009465,27.51949986,-7.119405211,
Four,Autoclave.Rhizobia,1,3,20.45389221,27.31491972,-6.861027501,
Four,Autoclave.Rhizobia,2,1,19.25359814,25.89170895,-6.638110804,
Four,Autoclave.Rhizobia,2,2,20.09937483,25.16864664,-5.069271803,
Four,Autoclave.Rhizobia,2,3,20.4208151,25.30747704,-4.886661941,
Four,Autoclave.Rhizobia,3,1,20.31514379,25.50174713,-5.186603339,
Four,Autoclave.Rhizobia,3,2,20.21000898,25.05542258,-4.845413608,
Four,Autoclave.Rhizobia,3,3,20.32700744,25.23269219,-4.905684745,
Four,Control.NoA,1,1,23.53001097,31.70612564,-8.176114666,
Four,Control.NoA,1,2,23.55805556,31.6067873,-8.04873174,
Four,Control.NoA,1,3,23.50711196,32.11644373,-8.609331766,
Four,Control.NoA,2,1,23.63006862,30.63287146,-7.002802838,
Four,Control.NoA,2,2,23.63250492,30.6453383,-7.012833381,
Four,Control.NoA,2,3,23.61290631,30.53624688,-6.923340569,
Four,Control.NoA,3,1,21.14249592,28.34238744,-7.19989152,
Four,Control.NoA,3,2,21.09318256,28.22859261,-7.135410044,
Four,Control.NoA,3,3,21.02824556,28.27902716,-7.2507816,
Four,Control.Nitrogen,1,1,23.29441832,30.92115067,-7.626732352,
Four,Control.Nitrogen,1,2,23.22272635,30.94572793,-7.72300158,
Four,Control.Nitrogen,1,3,23.13557131,30.91359758,-7.778026268,
Four,Control.Nitrogen,2,1,22.91225082,30.27138782,-7.359137002,
Four,Control.Nitrogen,2,2,22.56336244,29.76589707,-7.202534638,
Four,Control.Nitrogen,2,3,22.48324385,30.33038592,-7.847142075,
Four,Control.Nitrogen,3,1,22.50942107,30.13058043,-7.621159356,
Four,Control.Nitrogen,3,2,22.50481274,30.52627081,-8.021458073,
Four,Control.Nitrogen,3,3,22.59371921,30.50075365,-7.907034448,
